Critical.Edition	Ganguli.translation
1.1–12	1.1–12
1.13.1–28	1.13
1.13.29–34	1.14
1.13.35–45	1.15
1.14–18	1.16–20
1.19.1–16	1.21
1.19.17	1.22
1.20	1.23
1.21–46	1.25–50
1.47.1–16	1.51
1.47.17–25	1.52
1.48–52	1.53–57
1.53.1–26	1.58
1.53.27–36	1.59
1.54–67	1.60–73
1.68–69	1.74
1.70–91	1.75–96
1.92.1–31	1.97
1.92.32–55	1.98
1.93–100	1.99–106
1.101.1–15	1.107
1.101.16–28	1.108
1.102–104	1.109–111
1.105.1–3	1.112
1.105.4–27	1.113
1.106–107	1.114–115
1.108–118	1.117–127
1.119.1–34	1.128
1.119.35–38	1.128gap129
1.119.39–43	1.129
1.120–121	1.130–131
1.122.1–11	1.132
1.122.12–40	1.133
1.122.41–47	1.134
1.123.1–57	1.134
1.123.58–78	1.135
1.124–128	1.136–140
1.129–136	1.143–150
1.137–139	1.152–154
1.140–141	1.155
1.142–149	1.156–163
1.150.1–25	1.164
1.150.26–27	1.165
1.151–155	1.165–169
1.156.1–9	1.170
1.156.10–11	1.171
1.157	1.171
1.158–159	1.172
1.160–161	1.173–174
1.162–163	1.175
1.164–166	1.176–178
1.167–168	1.179
1.169–181	1.180–192
1.182–183	1.193
1.184–214	1.194–224
1.215.1–11	1.225
1.215.12–19	1.226
1.216–225	1.227–236
2.1–10	2.1–10
2.11.1–42	2.11
2.11.43–73	2.12
2.12–16	2.13–17
2.17.1–7	2.18
2.17.8–27	2.19
2.18–22	2.20–24
2.23.1–10	2.25
2.23.11–26	2.25b
2.24–42	2.26–44
2.43–49	2.46–52
2.50.1–9	2.53
2.50.10–28	2.54
2.51.1–21	2.55
2.51.22–28	2.56
2.52	2.57
2.53.1–16	2.58
2.53.17–25	2.59
2.54–61	2.60–67
2.62.1–21	2.68
2.62.22–38	2.69
2.63–65	2.70–72
2.66.1–27	2.73
2.66.28–37	2.74
2.67–72	2.75–80
3.1–2	3.1–2
3.3–4	3.3
3.5–44	3.4–43
3.45.1–8	3.44
3.45.9–38	3.47
3.46.1–18	3.48
3.46.19–41	3.49
